,date,open,high,low,close,vol
668,2015-11-19,64.7128,65.8663,63.5122,64.5056,469678
669,2015-11-20,64.5758,65.0428,64.1497,64.7068,477178
670,2015-11-21,64.5187,64.765,64.2758,64.6707,766
671,2015-11-22,64.856,65.8408,64.1995,65.8408,66
672,2015-11-23,66.1363,66.232,63.5994,65.8046,499534
673,2015-11-24,65.7886,67.2265,65.106,65.4203,476522
674,2015-11-25,65.4671,66.0706,63.7957,65.5031,466705
675,2015-11-26,65.5031,66.0054,64.3733,65.8465,385041
676,2015-11-27,65.8653,66.4766,64.464,66.3768,401602
677,2015-11-28,66.4215,66.6772,65.89,66.3405,804
678,2015-11-29,66.037,66.6496,66.037,66.6449,76
679,2015-11-30,66.6376,66.9036,65.6894,66.2676,446985
680,2015-12-01,66.3109,66.8826,65.0406,66.6051,419070
681,2015-12-02,66.6094,67.6974,65.4091,67.3651,453546
682,2015-12-03,67.3651,68.1742,67.0834,67.36,429338
683,2015-12-04,67.5905,68.3175,66.9433,67.8938,461506
684,2015-12-05,67.7441,68.6415,67.3555,68.1054,2650
685,2015-12-06,68.066,68.1961,67.0057,67.0057,67
686,2015-12-07,67.2512,69.6291,66.1135,69.4906,433984
687,2015-12-08,69.4926,69.9259,68.1976,69.2376,489648
688,2015-12-09,69.2376,70.3526,68.2299,69.3353,513202
689,2015-12-10,69.3353,69.7101,68.4287,68.4446,476452
690,2015-12-11,68.8119,70.4931,67.9863,70.382,546046
691,2015-12-12,70.2941,70.5103,69.5769,70.212,863
692,2015-12-13,69.898,70.9773,69.6201,70.6774,115
693,2015-12-14,70.9729,71.3152,68.525,70.4295,508018
694,2015-12-15,70.4732,71.4455,69.3251,69.8738,525984
695,2015-12-16,69.9194,71.0202,69.3544,70.0421,513015
696,2015-12-17,70.2411,71.582,69.0287,71.1407,479230
697,2015-12-18,71.2795,72.3131,69.9533,71.0052,404288
698,2015-12-19,70.9653,71.505,70.0876,70.7796,438
699,2015-12-20,70.685,70.977,70.685,70.7445,61
700,2015-12-21,70.8423,71.9912,70.172,71.0376,436588
701,2015-12-22,71.2857,72.277,70.014,71.2184,412947
702,2015-12-23,71.2869,71.397,69.51,69.6058,407803
703,2015-12-24,69.8042,70.8161,67.5993,69.7238,243736
704,2015-12-25,70.3371,70.9951,68.3909,70.5785,5611
705,2015-12-26,70.5785,70.5785,70.5346,70.5346,40
706,2015-12-27,70.189,70.2145,69.5427,69.8957,82
707,2015-12-28,70.1912,72.4489,68.9111,72.1301,399089
708,2015-12-29,72.3243,72.8361,70.7357,71.961,388152
709,2015-12-30,72.3188,73.6267,70.5407,73.6267,248830
710,2015-12-31,73.4573,75.6785,70.3037,72.6905,8853
711,2016-01-01,72.1374,73.425,71.25,72.995,494
712,2016-01-02,72.995,72.995,72.995,72.995,34
713,2016-01-03,73.425,73.425,71.0506,73.0667,73
714,2016-01-04,73.0667,74.4872,71.625,73.0476,194881
715,2016-01-05,73.1147,73.5374,70.9965,73.2947,170489
716,2016-01-06,73.3538,75.0644,71.8361,74.571,211364
717,2016-01-07,74.7366,76.07,72.9972,74.5038,58909
718,2016-01-08,74.7022,75.4083,73.1149,74.2135,71179
719,2016-01-09,74.1299,74.8069,73.8026,74.701,276
720,2016-01-10,74.9741,76.6962,74.9,76.3996,94
721,2016-01-11,76.6951,76.6972,73.5742,76.2325,430471
722,2016-01-12,76.3312,77.6827,74.158,76.7823,532342
723,2016-01-13,76.9129,77.1974,75.6271,76.4438,537038
724,2016-01-14,76.7466,77.2379,75.2756,76.2426,563217
725,2016-01-15,76.2426,77.9346,75.5427,77.5693,539923
726,2016-01-16,77.1527,77.8116,76.7497,77.7013,1594
727,2016-01-17,77.707,77.7295,77.707,77.7295,36
728,2016-01-18,77.7295,79.4246,76.7466,79.1821,489179
729,2016-01-19,79.2972,80.6138,77.9846,78.4727,623996
730,2016-01-20,78.6218,82.4552,77.3306,81.2964,623986
731,2016-01-21,81.3223,85.9493,80.0996,82.2698,706260
732,2016-01-22,82.6361,82.9749,77.6121,77.945,711022
733,2016-01-23,78.1314,78.3195,77.7391,78.29,2320
734,2016-01-24,78.29,79.2083,78.0424,79.1662,106
735,2016-01-25,79.1917,80.1395,75.355,79.9456,665411
736,2016-01-26,80.0079,82.2802,77.41,78.0408,711135
