,Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация,numRating,toMaturity,dateStart,dateEnd,risk_free_yield_toMaturity,risk_free_yield_toDuration,effYield,premium
64,АйДиКол1P1,RU000A10B2P6,B,6.5,1300,14.03.2025,27.02.2028,23.7,12,1.92,7,2.958904109589041,2025-03-14,2028-02-27,15.24,15.88,26.45166958834768,11.21166958834768
65,Роделен2P3,RU000A10B2F7,BB-,4.0,1000,13.03.2025,15.02.2030,23.25,12,2.16,5,4.931506849315069,2025-03-13,2030-02-15,15.18,16.24,25.894785034834243,10.714785034834243
66,ТелХолБ2-9,RU000A10B0Z9,BB,3.2,3500,07.03.2025,29.08.2026,22.37,12,0.96,4,1.4794520547945205,2025-03-07,2026-08-29,16.71,17.79,24.812257890737754,8.102257890737754
67,О'КЕЙ Б1Р7,RU000A10B2J9,BB,3.1,3000,13.03.2025,06.06.2026,23.31,12,0.78,4,1.2328767123287672,2025-03-13,2026-06-06,18.03,18.88,25.968906189632477,7.938906189632476
68,РостелP15R,RU000A10B214,AA,8.1,15000,12.03.2025,02.03.2027,17.35,12,1.38,1,1.9726027397260273,2025-03-12,2027-03-02,16.2,16.87,18.79839368286158,2.5983936828615803
69,АФБАНК1Р14,RU000A10B0U0,A,6.7,5000,06.03.2025,24.02.2027,20.64,12,1.33,2,1.9726027397260273,2025-03-06,2027-02-24,16.24,16.86,22.708943813753102,6.4689438137531035
70,ДелПорт1P4,RU000A10B487,A,8.0,15000,20.03.2025,11.09.2026,19.44,12,1.01,2,1.4794520547945205,2025-03-20,2026-09-11,16.02,17.07,21.269136978970437,5.249136978970437
71,БДеньг-2P8,RU000A10B2M3,B,6.5,250,13.03.2025,08.03.2026,27.82,12,0.59,7,0.9863013698630136,2025-03-13,2026-03-08,18.03,20.01,31.656252027453323,13.626252027453322
72,ЭффТех1P2,RU000A10B354,B,5.4,360,17.03.2025,13.03.2028,26.73,4,1.91,7,2.9917808219178084,2025-03-17,2028-03-13,15.07,15.69,29.53070748613804,14.460707486138041
73,ДЕВАР 1Р1,RU000A10B4L1,B,8.2,150,21.03.2025,05.03.2028,27.52,12,1.86,7,2.958904109589041,2025-03-21,2028-03-05,15.27,15.8,31.270750819190553,16.000750819190554
74,БИАНКА-02,RU000A10B5A1,B,5.9,180,25.03.2025,09.03.2028,26.26,12,1.89,7,2.958904109589041,2025-03-25,2028-03-09,15.68,16.25,29.66291821411733,13.98291821411733
75,СИБАВТО1Р5,RU000A10B750,B,3.2,120,28.03.2025,02.03.2030,25.65,12,2.67,7,4.931506849315069,2025-03-28,2030-03-02,15.55,16.23,28.891026386633655,13.341026386633654
76,Патриот1Р1,RU000A10B2D2,B+,4.6,300,13.03.2025,26.02.2028,24.94,12,1.89,6,2.958904109589041,2025-03-13,2028-02-26,15.6,16.24,27.997900689828505,12.397900689828505
77,ВОКСИС-02,RU000A10B222,BB-,6.6,200,12.03.2025,19.02.2029,24.19,12,2.16,5,3.9452054794520546,2025-03-12,2029-02-19,15.21,16.2,27.060622372032704,11.850622372032703
78,МСБЛиз3P04,RU000A10B735,B+,3.2,200,27.03.2025,18.09.2026,25.5,12,2.13,6,1.4794520547945205,2025-03-27,2026-09-18,16.95,16.41,28.701863292309106,11.751863292309107
79,ВсИнстр1Р6,RU000A10B3Y6,BB,4.0,500,18.03.2025,09.09.2026,21.98,12,0.99,4,1.4794520547945205,2025-03-18,2026-09-09,16.01,17.28,24.335235837525214,8.325235837525213
80,ТЕХНЛГ 02,RU000A10B6K8,B,7.7,200,27.03.2025,11.03.2028,26.0,12,1.9,7,2.958904109589041,2025-03-27,2028-03-11,15.89,16.41,29.333398475149398,13.443398475149397
81,ЭконЛиз1Р8,RU000A10B081,B+,3.6,100,05.03.2025,18.02.2028,24.98,12,1.87,6,2.958904109589041,2025-03-05,2028-02-18,16.06,16.66,28.048066435101116,11.988066435101118
82,ММЗ001P-02,RU000A10B255,B,5.0,90,12.03.2025,19.02.2029,24.71,12,1.61,7,3.9452054794520546,2025-03-12,2029-02-19,15.21,16.87,27.70979710386745,12.49979710386745
83,Селигдар3Р,RU000A10B933,BBB,3.8,9500,08.04.2025,25.09.2027,23.25,12,1.72,3,2.4657534246575343,2025-04-08,2027-09-25,16.63,17.39,25.894785034834243,9.264785034834244
84,ЕвроТранс7,RU000A10BB75,BB,5.9,4300,10.04.2025,31.03.2027,24.5,12,1.38,4,1.9726027397260273,2025-04-10,2027-03-31,17.25,17.76,27.447265278553147,10.197265278553147
85,Атомэнпр05,RU000A10BFG2,AA,5.9,40000,17.04.2025,11.04.2030,17.3,4,3.38,1,4.986301369863014,2025-04-17,2030-04-11,15.87,16.14,18.45504813165664,2.58504813165664
86,СамолетP16,RU000A10BFX7,BBB,3.8,3000,22.04.2025,06.04.2028,25.5,12,2.03,3,2.958904109589041,2025-04-22,2028-04-06,16.3,16.84,28.701863292309106,12.401863292309105
87,МТС 2P-10,RU000A10BGY3,AA,3.0,15000,25.04.2025,19.07.2026,19.25,12,3.15,1,1.2328767123287672,2025-04-25,2026-07-19,18.24,16.28,21.04259298016182,2.8025929801618226
88,ГЛОРАКС1Р4,RU000A10B9Q9,BB-,1.7,2200,09.04.2025,24.03.2028,25.5,12,1.97,5,2.958904109589041,2025-04-09,2028-03-24,16.91,17.38,28.701863292309106,11.791863292309106
89,ПолиплП2Б4,RU000A10BFJ6,BB,4.3,2250,18.04.2025,08.04.2027,25.5,12,1.4,4,1.9726027397260273,2025-04-18,2027-04-08,17.07,17.59,28.701863292309106,11.631863292309106
90,МВ ФИН 1Р6,RU000A10BFP3,BB,2.3,2000,21.04.2025,11.04.2027,26.0,12,1.4,4,1.9726027397260273,2025-04-21,2027-04-11,17.02,17.56,29.333398475149398,12.313398475149398
91,ЭталонФин3,RU000A10BAP4,BB,2.7,6750,11.04.2025,01.04.2027,25.5,12,1.38,4,1.9726027397260273,2025-04-11,2027-04-01,17.03,17.56,28.701863292309106,11.671863292309105
92,ТЕХЛиз 1P7,RU000A10BBG1,B+,3.1,700,11.04.2025,16.03.2030,27.0,12,1.67,6,4.931506849315069,2025-04-11,2030-03-16,15.96,17.56,30.60499898875677,14.644998988756768
93,РЖД 1Р-42R,RU000A10BGF2,AA,4.0,30000,24.04.2025,03.04.2029,17.4,12,2.79,1,3.9452054794520546,2025-04-24,2029-04-03,16.06,16.38,18.856959535234342,2.7969595352343433
94,ДАРСДев1Р3,RU000A10B8X7,B+,4.0,1000,08.04.2025,30.09.2026,26.0,12,1.01,6,1.4794520547945205,2025-04-08,2026-09-30,17.39,18.3,29.333398475149398,11.943398475149397
95,СэтлГрБ2P4,RU000A10B8M0,BB,6.8,6000,07.04.2025,29.09.2026,23.9,12,1.03,4,1.4794520547945205,2025-04-07,2026-09-29,17.81,18.74,26.69989788078002,8.889897880780023
96,МаниМен2П1,RU000A10BGC9,B+,9.5,1400,24.04.2025,03.04.2029,25.5,12,2.3,6,3.9452054794520546,2025-04-24,2029-04-03,16.06,16.63,28.701863292309106,12.641863292309107
97,РостелP16R,RU000A10BG13,AA,8.1,15000,22.04.2025,12.04.2027,17.65,12,1.48,1,1.9726027397260273,2025-04-22,2027-04-12,16.84,17.34,19.150185989650616,2.3101859896506163
98,Инаркт2Р2,RU000A10B8R9,BBB,8.6,2000,07.04.2025,03.04.2028,19.0,4,2.17,3,2.9917808219178084,2025-04-07,2028-04-03,16.7,17.24,20.397127816406304,3.6971278164063044
99,R-Vision 2,RU000A10B7W1,B,6.2,500,03.04.2025,18.03.2028,24.5,12,1.99,7,2.958904109589041,2025-04-03,2028-03-18,16.36,16.84,27.447265278553147,11.087265278553147
100,ПКБ 1Р-07,RU000A10BGU1,BB,9.0,1000,25.04.2025,09.04.2028,24.5,12,1.87,4,2.958904109589041,2025-04-25,2028-04-09,16.28,16.87,27.447265278553147,11.167265278553145
101,Новотр 1Р6,RU000A10BBE6,A,6.7,10500,11.04.2025,22.09.2028,18.75,12,2.22,2,3.452054794520548,2025-04-11,2028-09-22,16.28,17.03,20.448277018290085,4.168277018290084
102,"Апт36,62P2",RU000A10B7H2,BB-,3.3,1250,01.04.2025,23.09.2026,24.5,12,1.01,5,1.4794520547945205,2025-04-01,2026-09-23,17.28,18.37,27.447265278553147,10.167265278553145
